employee_id,first_name,last_name,email,phone,store_id,position,salary,joining_date
1,Libni,Pai,vincent13@example.net,916674752636.0,7,Inventory Executive,18242,2023-04-05 00:00:00.000000
2,Hemani,Tank,wbahri@example.net,916058643505.0,2,Sales Executive,58732,2025-11-16 00:00:00.000000
3,Aarush,Kohli,jeetdugar@example.net,910463320031.0,9,Sales Executive,51922,2022-11-02 00:00:00.000000
4,Madhav,Kalla,gautamidevi@example.net,1922812313.0,8,Inventory Executive,49372,2026-01-25 00:00:00.000000
5,Michael,Sane,datechandani@example.org,334619421.0,9,Inventory Executive,50759,2025-01-28 00:00:00.000000
6,Ekanta,Hari,xsalvi@example.org,918013284089.0,6,Cashier,77971,2021-03-11 00:00:00.000000
7,Naveen,Chauhan,fkoshy@example.net,7620936528.0,10,Inventory Executive,26890,2026-07-10 20:59:14.147594
8,Zarna,Merchant,oeshipadmanabhan@example.com,5961699570.0,3,Cashier,56465,2022-06-07 00:00:00.000000
9,Ganga,Radhakrishnan,ramlopa@example.net,375809812.0,4,Inventory Executive,62141,2021-11-23 00:00:00.000000
10,Akshay,Narula,ishaan01@example.org,5059334882.0,10,Store Manager,51486,2024-01-28 00:00:00.000000
11,Aashi,Aurora,ubath@example.net,9134771534.0,5,Sales Executive,71103,2020-06-09 00:00:00.000000
12,Naveen,Roy,ivohra@example.net,8453411632.0,6,Store Manager,23487,2025-10-22 00:00:00.000000
13,Ekantika,Comar,saksham72@example.com,911609558089.0,5,Sales Executive,39780,2019-10-04 00:00:00.000000
14,Megha,Jani,daksheshmukherjee@example.org,6732613193.0,2,Store Manager,75879,2023-06-13 00:00:00.000000
15,Wishi,Saini,mbassi@example.org,916440963014.0,6,Store Manager,48605,2020-12-24 00:00:00.000000
16,Bishakha,Maharaj,msahota@example.org,8800189865.0,9,Store Manager,45131,2023-12-11 00:00:00.000000
17,Zayyan,Jayaraman,fbehl@example.org,5176976415.0,4,Cashier,-34704,2019-05-18 00:00:00.000000
18,Vasudha,Madan,ldugar@example.org,8792778636.0,6,Sales Executive,36247,2019-03-28 00:00:00.000000
19,Girik,Agarwal,latabhanumati@example.com,914073860521.0,8,Sales Executive,47237,2021-07-23 00:00:00.000000
20,Noah,Pandey,ukunda@example.com,5856986828.0,3,Sales Executive,28996,2020-09-21 00:00:00.000000
21,Meera,Reddy,chahalqushi@example.com,8571714630.0,9,Cashier,26007,2024-05-09 00:00:00.000000
22,Damyanti,Gill,rrastogi@example.net,5649466500.0,6,Inventory Executive,60648,2024-06-12 00:00:00.000000
23,Raksha,Dugar,ekta58@example.org,507478510.0,4,Cashier,74231,2023-12-18 00:00:00.000000
24,Balendra,Garg,nimrat74@example.net,7051314403.0,1,Inventory Executive,65555,2021-11-04 00:00:00.000000
25,Urvashi,Grewal,onveerpau@example.net,8173179170.0,5,Store Manager,52283,2024-01-03 00:00:00.000000
26,Jagrati,Golla,hema69@example.net,Not Available,2,Cashier,37031,2025-04-11 00:00:00.000000
27,Geetika,Pau,mananjohal@example.org,4622880626.0,7,Cashier,50029,2021-07-16 00:00:00.000000
28,Sai,More,chowdhuryhardik@example.com,5188221606.0,1,Inventory Executive,51386,2023-03-27 00:00:00.000000
29,Rachit,Amble,rgera@example.net,9139692159.0,8,Sales Executive,65294,2019-01-29 00:00:00.000000
30,Nakul,Gaba,dasguptapahal@example.com,910774389020.0,9,Store Manager,23398,2020-01-26 00:00:00.000000
31,Aarnav,Sarkar,abhiram53@example.org,5850566389.0,7,Cashier,19227,2022-04-21 00:00:00.000000
32,Rehaan,Manda,devika65@example.net,7732499643.0,10,Sales Executive,65395,2019-06-01 00:00:00.000000
33,Vrishti,Mitra,abeerrajagopalan@example.com,Not Available,5,Store Manager,67323,2021-09-28 00:00:00.000000
34,Oscar,Subramaniam,shettyudyati@example.com,911357973035.0,6,Inventory Executive,57534,2025-04-06 00:00:00.000000
35,Jagrati,Dora,zjaggi@example.net,1594826615.0,7,Cashier,21795,2022-11-03 00:00:00.000000
36,Veda,Sekhon,mohammedganguly@example.net,5631412911.0,5,Inventory Executive,32387,2021-07-24 00:00:00.000000
37,Vedhika,Palla,dkhatri@example.com,6962188076.0,4,Cashier,69390,2025-07-14 00:00:00.000000
