supplier_id,supplier_name,contact_person,email,phone,city,state
1,"Parmer, Bir And Krishnan",Leena Sane,bhavani05@naidu.com,9962122297.0,Ahmednagar,Sikkim
2,Bhavsar Inc,Vincent Bhargava,jasmitbahri@gole.net,915586887373.0,Hazaribagh,Assam
3,Wable And Sons,Sathvik Zachariah,maanasviswanathan@batta.com,8448493811.0,Junagadh,Maharashtra
4,"Sinha, Malhotra And Chanda",Zansi Ratta,kala80@dua.org,916402787688.0,Tiruppur,Gujarat
5,Sha-Sridhar,Vincent Thaman,krishnarai@savant.com,917336297343.0,Munger,Mizoram
6,"Mukhopadhyay, Ghose And Gulati",Arjun Korpal,dgarg@manne.com,967672752.0,Bareilly,West Bengal
7,"Rao, D’Alia And Dhaliwal",Bimala Badami,madaneiravati@bedi.com,9378675926.0,Tinsukia,Punjab
8,"Chakrabarti, Brar And Chauhan",Kamya Sheth,smerchant@swaminathan.com,5477267655.0,Chinsurah,Punjab
9,"Bandi, Gupta And Karan",Lajita Oza,aggarwalkrish@saran.net,2212416758.0,Bhind,Sikkim
10,"Aggarwal, Ramanathan And Bhatnagar",Oscar Savant,brahmbhattviraj@doctor.com,5510789232.0,Begusarai,Uttar Pradesh
11,Khatri-Desai,Maya Varkey,hdara@varkey.biz,8725421172.0,Hajipur,Maharashtra
12,Chana-Mandal,Dhruv Sankar,neeldara@dhar.com,Not Available,Kumbakonam,Telangana
13,Pingle Inc,Anay Sastry,dassyuvraj@dora.info,8518111993.0,Chandrapur,Tripura
14,Gill And Sons,Laban Keer,dminhas@ahluwalia.biz,917998546936.0,Hapur,Himachal Pradesh
15,Basak-Hayer,Riya Sant,gchacko@patil-bala.net,910369784366.0,Unnao,Haryana
16,Sathe Group,Krish Tella,virkjeet@ahluwalia.com,916612168523.0,Bhimavaram,Tamil Nadu
17,Suresh-Zacharia,Dalaja Narayan,bperi@ray-madan.com,171743149.0,Pali,Jharkhand
18,Kohli Inc,Vedika Sarkar,wrattan@nigam-oak.com,917675543615.0,Muzaffarnagar,Tamil Nadu
19,Gole-Grover,Balveer Chahal,vidhi29@goswami.com,4469812845.0,Phusro,Sikkim
20,Yohannan Llc,Girindra Bhat,balvansampath@puri-sankaran.com,913416083008.0,Kota,Arunachal Pradesh
21,"Oak, Choudhury And Contractor",Amol Venkatesh,adweta96@parekh-lad.com,5228053110.0,Morbi,Mizoram
22,Zacharia-Banik,Dayamai Rai,gagan08@vig.com,7369409164.0,Bhusawal,Tamil Nadu
23,Dhar Plc,Anthony Kara,krishna40@subramanian.com,1816661825.0,Haldia,Karnataka
24,"Bhatt, Borde And Ramachandran",Arunima Solanki,hitesh16@ratti.com,913948335588.0,Nadiad,Arunachal Pradesh
25,Buch Inc,Shivansh Sathe,sarnashivani@vyas.info,5844695217.0,Sambalpur,Jharkhand
26,Vaidya-Taneja,Inaya Zachariah,omaja73@dhingra-soni.com,911853199991.0,Agra,Telangana
27,Bail Llc,Harsh Raghavan,damyantichoudhury@natarajan.org,3466216283.0,Kollam,Maharashtra
28,Nazareth Llc,Manan Goswami,avitiwari@bhatnagar.info,8966951172.0,Vijayawada,West Bengal
29,Goyal-Parekh,Mason Bala,gdara@batra.com,7034856895.0,Miryalaguda,Odisha
30,Sachar Llc,Ishwar Choudhury,unknown_supplier_29@shopsmart.com,911944585948.0,Vasai-Virar,Bihar
31,Jaggi Plc,Victor Taneja,aviramesh@wable-bhandari.com,8404702838.0,Bidar,Maharashtra
32,"Cheema, Puri And Bahl",Odika Ghosh,badaladya@nagarajan-nagarajan.net,610895211.0,Rajpur Sonarpur,Telangana
33,"Shukla, Dave And Kohli",Lakshit Nagarajan,bbarman@thaker.net,9137157475.0,Gangtok,Punjab
34,Naidu-Dani,Aashi Jha,cpurohit@sami.info,3033669442.0,Tumkur,Madhya Pradesh
35,"Dugar, Ahuja And Mane",Unknown,amritasarna@sha.com,1606167717.0,Pondicherry,Gujarat
36,"Sha, Patil And Tak",Nimrat Koshy,echander@bahl-savant.biz,269277258.0,Bulandshahr,Andhra Pradesh
37,"Lal, Chaudhari And Ratti",Triveni D’Alia,nandini61@parsa-jaggi.com,6794243167.0,North Dumdum,West Bengal
38,Dara-Som,Dakshesh Pai,sagareiravati@pathak.org,2200034901.0,Ujjain,Himachal Pradesh
39,Raman Inc,Nidra Sinha,upadhriti17@bahl.com,911350067684.0,Thane,Uttar Pradesh
40,Misra-Yogi,Warhi Walia,imaranbandi@saraf.com,388555075.0,Tezpur,Tamil Nadu
41,Basak-Devan,Unknown,unknown_supplier_40@shopsmart.com,913368573088.0,Pune,Odisha
42,Soni-Deep,Nakul Dey,jsaini@peri.com,917535421428.0,Begusarai,Meghalaya
43,Oommen-Kakar,Damini Om,edhithapai@buch.info,8051406745.0,Vellore,Haryana
44,Dada-Sinha,Ikbal Grewal,buchmanan@sem-goda.com,911936206231.0,Bhavnagar,Haryana
45,Prabhu-Viswanathan,Eiravati Goda,akshayranganathan@morar.com,2027595103.0,Kota,Andhra Pradesh
46,Srinivas Inc,Joshua Kade,lpatla@bhandari.com,913758946495.0,Hindupur,Manipur
47,Hans Group,Dev Vala,michael47@gill.info,911658129211.0,Tirunelveli,Sikkim
48,Sidhu-Jaggi,Neel Dhaliwal,aarav46@ray-randhawa.info,912295859554.0,Latur,Rajasthan
49,Naidu-Pingle,Oni Tandon,slal@korpal-anand.com,913784661011.0,Sambalpur,Meghalaya
50,Nagarajan Ltd,Farhan Mallick,saradhaliwal@tata.com,913317521485.0,Gwalior,Jharkhand
51,Bal Plc,Yutika Prakash,halderlekha@chandra.info,545836827.0,Ahmednagar,Haryana
