employee_id,first_name,last_name,email,phone,store_id,position,salary,joining_date
1,Libni,Pai,vincent13@example.net,+916674752636,7,Inventory Executive,18242,2023-04-05
2,Hemani,Tank,wbahri@example.net,+916058643505,2,Sales Executive,58732,2025-11-16
3,Aarush,Kohli,jeetdugar@example.net,+910463320031,9,Sales Executive,51922,2022-11-02
4,Madhav,Kalla,gautamidevi@example.net,1922812313,8,Inventory Executive,49372,2026-01-25
5,Michael,Sane,datechandani@example.org,00334619421,9,Inventory Executive,50759,2025-01-28
6,Ekanta,Hari,xsalvi@example.org,+918013284089,6,Cashier,77971,2021-03-11
7,Naveen,Chauhan,fkoshy@example.net,7620936528,10,Inventory Executive,26890,2020-09-26
8,Zarna,Merchant,oeshipadmanabhan@example.com,05961699570,3,Cashier,56465,2022-06-07
9,Ganga,Radhakrishnan,ramlopa@example.net,0375809812,4,Inventory Executive,62141,2021-11-23
10,Akshay,Narula,ishaan01@example.org,05059334882,10,Store Manager,51486,2024-01-28
11,Aashi,Aurora,ubath@example.net,09134771534,5,Sales Executive,71103,2020-06-09
12,Naveen,Roy,ivohra@example.net,08453411632,6,Store Manager,23487,2025-10-22
13,Ekantika,Comar,saksham72@example.com,+911609558089,5,Sales Executive,39780,2019-10-04
14,Megha,Jani,daksheshmukherjee@example.org,06732613193,2,Store Manager,75879,2023-06-13
15,Wishi,Saini,mbassi@example.org,+916440963014,6,Store Manager,48605,2020-12-24
16,Bishakha,Maharaj,msahota@example.org,08800189865,9,Store Manager,45131,2023-12-11
17,Zayyan,Jayaraman,fbehl@example.org,5176976415,4,Cashier,34704,2019-05-18
18,Vasudha,Madan,ldugar@example.org,8792778636,6,Sales Executive,36247,2019-03-28
19,Girik,Agarwal,latabhanumati@example.com,+914073860521,8,Sales Executive,47237,2021-07-23
20,Noah,Pandey,ukunda@example.com,05856986828,3,Sales Executive,28996,2020-09-21
21,Meera,Reddy,chahalqushi@example.com,8571714630,9,Cashier,26007,2024-05-09
22,Damyanti,Gill,rrastogi@example.net,5649466500,6,Inventory Executive,60648,2024-06-12
