supplier_id,supplier_name,contact_person,email,phone,city,state
1,"Parmer, Bir and Krishnan",Leena Sane,bhavani05@naidu.com,09962122297,Ahmednagar,Sikkim
2,Bhavsar Inc,Vincent Bhargava,jasmitbahri@gole.net,+915586887373,Hazaribagh,Assam
3,Wable and Sons,Sathvik Zachariah,maanasviswanathan@batta.com,08448493811,Junagadh,Maharashtra
4,"Sinha, Malhotra and Chanda",Zansi Ratta,kala80@dua.org,+916402787688,Tiruppur,Gujarat
5,Sha-Sridhar,Vincent Thaman,krishnarai@savant.com,+917336297343,Munger,Mizoram
6,"Mukhopadhyay, Ghose and Gulati",Arjun Korpal,dgarg@manne.com,0967672752,Bareilly,West Bengal
7,"Rao, D’Alia and Dhaliwal",Bimala Badami,madaneiravati@bedi.com,9378675926,Tinsukia,Punjab
8,"Chakrabarti, Brar and Chauhan",Kamya Sheth,smerchant@swaminathan.com,5477267655,Chinsurah,Punjab
9,"Bandi, Gupta and Karan",Lajita Oza,aggarwalkrish@saran.net,02212416758,Bhind,Sikkim
10,"Aggarwal, Ramanathan and Bhatnagar",Oscar Savant,brahmbhattviraj@doctor.com,5510789232,Begusarai,Uttar Pradesh
11,Khatri-Desai,Maya Varkey,hdara@varkey.biz,8725421172,Hajipur,Maharashtra
12,Chana-Mandal,Dhruv Sankar,neeldara@dhar.com,07638523611,Kumbakonam,Telangana
13,Pingle Inc,Anay Sastry,dassyuvraj@dora.info,08518111993,Chandrapur,Tripura
14,Gill and Sons,Laban Keer,dminhas@ahluwalia.biz,+917998546936,Hapur,Himachal Pradesh
15,Basak-Hayer,Riya Sant,gchacko@patil-bala.net,+910369784366,Unnao,Haryana
16,Sathe Group,Krish Tella,virkjeet@ahluwalia.com,+916612168523,Bhimavaram,Tamil Nadu
17,Suresh-Zacharia,Dalaja Narayan,bperi@ray-madan.com,00171743149,Pali,Jharkhand
18,Kohli Inc,Vedika Sarkar,wrattan@nigam-oak.com,+917675543615,Muzaffarnagar,Tamil Nadu
19,Gole-Grover,Balveer Chahal,vidhi29@goswami.com,4469812845,Phusro,Sikkim
20,Yohannan LLC,Girindra Bhat,balvansampath@puri-sankaran.com,+913416083008,Kota,Arunachal Pradesh
21,"Oak, Choudhury and Contractor",Amol Venkatesh,adweta96@parekh-lad.com,5228053110,Morbi,Mizoram
22,Zacharia-Banik,Dayamai Rai,gagan08@vig.com,7369409164,Bhusawal,Tamil Nadu
23,Dhar PLC,Anthony Kara,krishna40@subramanian.com,1816661825,Haldia,Karnataka
24,"Bhatt, Borde and Ramachandran",Arunima Solanki,hitesh16@ratti.com,+913948335588,Nadiad,Arunachal Pradesh
25,Buch Inc,Shivansh Sathe,sarnashivani@vyas.info,5844695217,Sambalpur,Jharkhand
26,Vaidya-Taneja,Inaya Zachariah,omaja73@dhingra-soni.com,+911853199991,Agra,Telangana
27,Bail LLC,Harsh Raghavan,damyantichoudhury@natarajan.org,3466216283,Kollam,Maharashtra
28,Nazareth LLC,Manan Goswami,avitiwari@bhatnagar.info,8966951172,Vijayawada,West Bengal
29,Goyal-Parekh,Mason Bala,gdara@batra.com,07034856895,Miryalaguda,Odisha
30,Sachar LLC,Ishwar Choudhury,ekajagoswami@srinivas.com,+911944585948,Vasai-Virar,Bihar
31,Jaggi PLC,Victor Taneja,aviramesh@wable-bhandari.com,08404702838,Bidar,Maharashtra
32,"Cheema, Puri and Bahl",Odika Ghosh,badaladya@nagarajan-nagarajan.net,00610895211,Rajpur Sonarpur,Telangana
33,"Shukla, Dave and Kohli",Lakshit Nagarajan,bbarman@thaker.net,09137157475,Gangtok,Punjab
34,Naidu-Dani,Aashi Jha,cpurohit@sami.info,03033669442,Tumkur,Madhya Pradesh
35,"Dugar, Ahuja and Mane",Upasna Karan,amritasarna@sha.com,01606167717,Pondicherry,Gujarat
36,"Sha, Patil and Tak",Nimrat Koshy,echander@bahl-savant.biz,00269277258,Bulandshahr,Andhra Pradesh
37,"Lal, Chaudhari and Ratti",Triveni D’Alia,nandini61@parsa-jaggi.com,06794243167,North Dumdum,West Bengal
38,Dara-Som,Dakshesh Pai,sagareiravati@pathak.org,02200034901,Ujjain,Himachal Pradesh
39,Raman Inc,Nidra Sinha,upadhriti17@bahl.com,+911350067684,Thane,Uttar Pradesh
40,Misra-Yogi,Warhi Walia,imaranbandi@saraf.com,0388555075,Tezpur,Tamil Nadu
41,Basak-Devan,Wridesh Kurian,bhatiavrishti@anne.com,+913368573088,Pune,Odisha
42,Soni-Deep,Nakul Dey,jsaini@peri.com,+917535421428,Begusarai,Meghalaya
43,Oommen-Kakar,Damini Om,edhithapai@buch.info,8051406745,Vellore,Haryana
44,Dada-Sinha,Ikbal Grewal,buchmanan@sem-goda.com,+911936206231,Bhavnagar,Haryana
45,Prabhu-Viswanathan,Eiravati Goda,akshayranganathan@morar.com,02027595103,Kota,Andhra Pradesh
46,Srinivas Inc,Joshua Kade,lpatla@bhandari.com,+913758946495,Hindupur,Manipur
47,Hans Group,Dev Vala,michael47@gill.info,+911658129211,Tirunelveli,Sikkim
48,Sidhu-Jaggi,Neel Dhaliwal,aarav46@ray-randhawa.info,+912295859554,Latur,Rajasthan
49,Naidu-Pingle,Oni Tandon,slal@korpal-anand.com,+913784661011,Sambalpur,Meghalaya
50,Nagarajan Ltd,Farhan Mallick,saradhaliwal@tata.com,+913317521485,Gwalior,Jharkhand
