employee_id,first_name,last_name,email,phone,store_id,position,salary,joining_date
1,Libni,Pai,vincent13@example.net,916674752636.0,7,Inventory Executive,18242,2023-04-05
2,Hemani,Tank,wbahri@example.net,916058643505.0,2,Sales Executive,58732,2025-11-16
3,Aarush,Kohli,jeetdugar@example.net,910463320031.0,9,Sales Executive,51922,2022-11-02
4,Madhav,Kalla,gautamidevi@example.net,1922812313.0,8,Inventory Executive,49372,2026-01-25
5,Michael,Sane,datechandani@example.org,334619421.0,9,Inventory Executive,50759,2025-01-28
6,Ekanta,Hari,xsalvi@example.org,918013284089.0,6,Cashier,77971,2021-03-11
7,Naveen,Chauhan,fkoshy@example.net,7620936528.0,10,Inventory Executive,26890,2027-01-02
8,Zarna,Merchant,oeshipadmanabhan@example.com,5961699570.0,3,Cashier,56465,2022-06-07
9,Ganga,Radhakrishnan,ramlopa@example.net,375809812.0,4,Inventory Executive,62141,2021-11-23
10,Akshay,Narula,ishaan01@example.org,5059334882.0,10,Store Manager,51486,2024-01-28
11,Aashi,Aurora,ubath@example.net,9134771534.0,5,Sales Executive,71103,2020-06-09
12,Naveen,Roy,ivohra@example.net,8453411632.0,6,Store Manager,23487,2025-10-22
13,Ekantika,Comar,saksham72@example.com,911609558089.0,5,Sales Executive,39780,2019-10-04
14,Megha,Jani,daksheshmukherjee@example.org,6732613193.0,2,Store Manager,75879,2023-06-13
15,Wishi,Saini,mbassi@example.org,916440963014.0,6,Store Manager,48605,2020-12-24
16,Bishakha,Maharaj,msahota@example.org,8800189865.0,9,Store Manager,45131,2023-12-11
17,Zayyan,Jayaraman,fbehl@example.org,5176976415.0,4,Cashier,-34704,2019-05-18
18,Vasudha,Madan,ldugar@example.org,8792778636.0,6,Sales Executive,36247,2019-03-28
19,Girik,Agarwal,latabhanumati@example.com,914073860521.0,8,Sales Executive,47237,2021-07-23
20,Noah,Pandey,ukunda@example.com,5856986828.0,3,Sales Executive,28996,2020-09-21
21,Meera,Reddy,chahalqushi@example.com,8571714630.0,9,Cashier,26007,2024-05-09
22,Damyanti,Gill,rrastogi@example.net,5649466500.0,6,Inventory Executive,60648,2024-06-12
23,Raksha,Dugar,ekta58@example.org,507478510.0,4,Cashier,74231,2023-12-18
24,Balendra,Garg,nimrat74@example.net,7051314403.0,1,Inventory Executive,65555,2021-11-04
25,Urvashi,Grewal,onveerpau@example.net,8173179170.0,5,Store Manager,52283,2024-01-03
26,Jagrati,Golla,hema69@example.net,,2,Cashier,37031,2025-04-11
27,Geetika,Pau,mananjohal@example.org,4622880626.0,7,Cashier,50029,2021-07-16
28,Sai,More,chowdhuryhardik@example.com,5188221606.0,1,Inventory Executive,51386,2023-03-27
29,Rachit,Amble,rgera@example.net,9139692159.0,8,Sales Executive,65294,2019-01-29
30,Nakul,Gaba,dasguptapahal@example.com,910774389020.0,9,Store Manager,23398,2020-01-26
31,Aarnav,Sarkar,abhiram53@example.org,5850566389.0,7,Cashier,19227,2022-04-21
32,Rehaan,Manda,devika65@example.net,7732499643.0,10,Sales Executive,65395,2019-06-01
33,Vrishti,Mitra,abeerrajagopalan@example.com,,5,Store Manager,67323,2021-09-28
34,Oscar,Subramaniam,shettyudyati@example.com,911357973035.0,6,Inventory Executive,57534,2025-04-06
35,Jagrati,Dora,zjaggi@example.net,1594826615.0,7,Cashier,21795,2022-11-03
36,Veda,Sekhon,mohammedganguly@example.net,5631412911.0,5,Inventory Executive,32387,2021-07-24
37,Vedhika,Palla,dkhatri@example.com,6962188076.0,4,Cashier,69390,2025-07-14
38,Kabir,Mutti,swali@example.org,910187341930.0,7,Sales Executive,68347,2021-07-22
39,Ryan,Wali,maxdesai@example.org,1419546817.0,5,Inventory Executive,38354,2021-09-02
40,Edhitha,Issac,rmisra@example.net,912422632473.0,5,Cashier,79517,2018-11-23
41,Tanay,Sampath,lokeekapad@example.net,4782374146.0,3,Inventory Executive,54449,2019-08-27
42,Jeet,Bahri,utkarshdivan@example.net,919831033664.0,7,Inventory Executive,20426,2021-09-27
43,Aarush,Bhattacharyya,divya00@example.com,5128904135.0,6,Sales Executive,38054,2021-08-30
44,Vinaya,Sood,anjalimangat@example.org,5377474247.0,1,Store Manager,37044,2025-06-28
45,Zinal,Raju,udarsh75@example.org,9310393586.0,2,Store Manager,36039,2022-10-29
46,Varenya,Sampath,frama@example.net,911594398284.0,5,Cashier,70706,2020-06-24
47,Xiti,Dave,harinakshibhatt@example.org,4727425067.0,5,Cashier,34142,2024-10-04
48,Ojasvi,Sampath,uarya@example.org,8352852580.0,2,Store Manager,42975,2021-05-12
49,Liam,Walia,narayanjhalak@example.com,5132194822.0,10,Cashier,37589,2025-02-22
50,Shivani,Batra,idikacherian@example.org,915154751025.0,8,Store Manager,35947,2019-07-02
51, Chandresh ,Natt,amol52@example.com,9183329701.0,2,Store Manager,76632,2023-10-01
52,Raksha,Ranganathan,duavrishti@example.net,910773578938.0,1,Store Manager,52412,2018-09-30
53,Radha,Koshy,sarafvrinda@example.net,912986806492.0,9,Store Manager,50754,2022-10-04
54,Girik,Sagar,krishakhalsa@example.net,913196222314.0,10,Sales Executive,73577,2025-06-01
55,Gunbir,Ramachandran,wkapoor@example.net,911935599736.0,8,Store Manager,24087,2019-05-26
56,Anita,Dara,vanya70@example.net,8823440765.0,10,Cashier,46540,2024-10-13
57,Advaith,Balasubramanian,eganesan@example.net,198507997.0,2,Store Manager,57427,2021-08-15
58,Christopher,Sheth,forumraval@example.org,6158085209.0,5,Store Manager,46277,2022-09-20
